stage,round,length,count,durability,gold,spawnEnd,spawnPeak,catchPairs,firstCatchTile,peak25,peak50,peak75,peakCore,mid2TilePeak,mid2TileDenseSeconds
3,7,1056.0,16,938.5316979832385,109,13.909999999999998,2,60,0.5428977272727268,3,3,3,2,6,0.5392307692307696
3,8,1056.0,13,942.7326213069014,95,9.92,3,13,0.27920454545454576,3,2,2,2,3,0
3,9,1056.0,15,1564.4838283107306,114,14.73,2,56,0.45937499999999987,3,3,3,2,7,1.476593406593409
3,10,1056.0,12,2904.7929518917126,198,10.280000000000001,2,22,0.24882812499999993,2,3,2,2,6,0.04761904761904745
3,11,1056.0,17,1563.8399999999992,118,17.805,2,43,1.163352272727273,3,3,3,3,6,0.14824175824175967
3,12,1056.0,18,1503.2265876149027,124,15.844999999999999,2,73,0.5428977272727268,3,3,3,3,6,0.6368498168498213
3,13,1056.0,15,1521.795580700072,110,10.98,3,18,0.27920454545454576,3,2,2,2,3,0
3,14,1056.0,16,2336.6136049755833,124,15.86,2,61,0.45937499999999987,3,4,3,2,8,1.8876190476190473
3,15,1056.0,18,2572.7237441085576,176,15.67,2,63,0.5428977272727268,3,3,3,2,6,0.444725274725279
3,16,1056.0,19,2443.761035780709,133,19.51,2,52,1.1633522727272758,3,3,3,3,6,0.21959706959706438
3,17,1056.0,20,2374.7034590831718,139,17.75,2,86,0.5428977272727268,3,3,3,3,6,0.6705860805860837
3,18,1056.0,18,2905.394331670401,134,12.0,4,31,0.27920454545454504,3,2,2,2,3,0
3,19,1056.0,18,4001.4682531793674,143,18.54,2,79,0.45937500000000014,3,4,3,3,9,2.9445054945054956
3,20,1056.0,14,6115.9192955647895,238,11.95,2,27,0.24882812499999993,2,3,2,2,6,0.0952380952380949
3,21,1056.0,20,3657.599999999998,143,20.369999999999997,2,53,1.163352272727273,3,3,3,3,6,0.3227472527472557
3,22,1056.0,22,3710.2225016696366,154,19.625,2,95,0.5428977272727268,3,3,3,3,6,0.7086996336996414
3,23,1056.0,20,4485.988711802821,149,12.979999999999999,4,39,0.27920454545454504,3,2,2,2,4,0
3,24,1056.0,20,6063.140006841041,158,20.444999999999997,2,94,0.45937500000000014,3,4,3,3,8,3.166172161172163
3,25,1056.0,23,6802.327181616425,225,20.700000000000003,2,89,0.5428977272727268,3,3,3,3,6,1.1883333333333432
3,26,1056.0,22,5636.9421225341675,158,21.95,2,62,1.163352272727273,3,3,3,3,6,0.714725274725275
3,27,1056.0,24,5744.687044399733,169,21.47,2,104,0.5428977272727268,3,3,3,3,6,0.8399633699633746
3,28,1056.0,23,7850.646841453998,173,13.919999999999998,4,56,0.23624999999999963,3,3,2,2,5,0
3,29,1056.0,22,9968.570034236316,177,23.11,2,110,0.4593749999999996,3,3,4,3,7,3.797985347985346
3,30,1056.0,17,13962.35354119273,287,15.110000000000001,2,45,0.2488281250000001,3,3,3,2,6,0.1280952380952307
3,31,1056.0,23,8375.039999999995,168,22.715,2,64,1.163352272727273,3,3,3,3,6,0.8273443223443309
3,32,1056.0,26,8827.983656218938,184,23.285,2,110,0.5428977272727268,3,3,3,3,6,0.8849633699633657
3,33,1056.0,25,11856.772524410997,188,14.819999999999999,4,67,0.27371093750000053,3,3,2,2,5,0
3,34,1056.0,23,14594.0843673437,187,24.224999999999998,2,111,0.4593749999999996,3,3,4,3,6,2.7741025641025665
3,35,1056.0,28,16918.41375003147,274,25.610000000000003,2,108,0.5428977272727268,3,3,3,3,6,1.642930402930407
3,36,1056.0,25,12772.724347013836,183,24.17,2,74,1.163352272727273,3,3,3,3,6,1.0736996336996292
3,37,1056.0,28,13479.934341266247,199,25.07,2,115,0.5428977272727268,3,3,3,3,6,1.0044688644688655
3,38,1056.0,27,17834.723337081425,203,15.680000000000001,4,79,0.25593749999999965,3,3,2,2,6,0.24135531135531352
3,39,1056.0,26,23868.407124227808,211,27.619999999999997,2,139,0.4593749999999996,3,3,4,3,6,3.357435897435895
3,40,1056.0,20,31385.73698251176,336,18.21,2,65,0.24882812499999976,3,3,3,3,6,0.047619047619051
4,1,1104.0,6,362.88,53,8.5,1,0,-1,1,1,1,1,2,0
4,2,1104.0,8,518.56687211356,64,10.85,1,0,-1,1,1,1,1,2,0
4,3,1104.0,9,625.2594885919862,70,7.250000000000001,2,0,-1,2,2,2,2,5,0
4,4,1104.0,10,661.6268568868649,76,10.5,2,21,0.6204545454545488,3,3,2,2,5,0
4,5,1104.0,9,875.5621132091755,107,10.35,1,8,2.1,2,2,1,1,4,0
4,6,1104.0,16,1241.4306061765994,108,16.85,2,44,1.163352272727273,3,3,3,3,6,0.11824175824175853
4,7,1104.0,16,1126.238037579886,109,13.909999999999998,2,60,0.5428977272727268,3,3,3,2,6,0.3533333333333353
4,8,1104.0,13,1131.2791455682816,95,9.92,3,13,0.27920454545454576,3,2,2,2,3,0
4,9,1104.0,15,1877.3805939728759,114,14.73,2,56,0.45937499999999987,3,3,3,2,7,0.5434798534798517
4,10,1104.0,12,3485.7515422700535,198,10.280000000000001,2,22,0.24882812499999993,2,3,2,2,6,0.04761904761904745
4,11,1104.0,17,1876.608,118,17.805,2,44,1.163352272727273,3,3,3,3,6,0.28509157509157745
4,12,1104.0,18,1803.8719051378844,124,15.844999999999999,2,75,0.5428977272727268,3,3,3,3,6,0.6023443223443259
4,13,1104.0,15,1826.1546968400862,110,10.98,3,18,0.27920454545454576,3,2,2,2,3,0
4,14,1104.0,16,2803.9363259706984,124,15.86,2,61,0.45937499999999987,3,3,3,2,7,2.029468864468864
4,15,1104.0,18,3087.2684929302695,176,15.67,2,63,0.5428977272727268,3,3,3,2,6,0.6348168498168469
4,16,1104.0,19,2932.5132429368487,133,19.51,2,55,1.1633522727272758,3,3,3,3,6,0.3072527472527504
4,17,1104.0,20,2849.644150899805,139,17.75,2,88,0.5428977272727268,3,3,3,3,6,0.6705860805860802
4,18,1104.0,18,3486.473198004481,134,12.0,4,31,0.27920454545454504,3,2,2,2,3,0
4,19,1104.0,18,4801.7619038152425,143,18.54,2,80,0.45937500000000014,3,4,3,3,9,3.0476190476190474
4,20,1104.0,14,7339.103154677744,238,11.95,2,27,0.24882812499999993,2,3,2,2,6,0.0952380952380949
4,21,1104.0,20,4389.120000000001,143,20.369999999999997,2,55,1.163352272727273,3,3,3,3,6,0.3291025641025698
4,22,1104.0,22,4452.267002003566,154,19.625,2,100,0.5428977272727268,3,3,3,3,6,0.7391941391941401
4,23,1104.0,20,5383.186454163388,149,12.979999999999999,4,39,0.27920454545454504,3,2,2,2,4,0
4,24,1104.0,20,7275.7680082092475,158,20.444999999999997,2,98,0.45937500000000014,3,4,3,3,8,3.3044688644688662
4,25,1104.0,23,8162.792617939709,225,20.700000000000003,2,92,0.5428977272727268,3,3,3,3,6,1.1806776556776626
4,26,1104.0,22,6764.330547040997,158,21.95,2,66,1.163352272727273,3,3,3,3,6,0.7033333333333367
4,27,1104.0,24,6893.624453279675,169,21.47,2,109,0.5428977272727268,3,3,3,3,6,0.9191941391941363
4,28,1104.0,23,9420.776209744798,173,13.919999999999998,4,56,0.23624999999999963,3,3,2,2,4,0
4,29,1104.0,22,11962.28404108359,177,23.11,2,115,0.4593749999999996,3,4,3,3,8,4.612234432234448
4,30,1104.0,17,16754.82424943127,287,15.110000000000001,2,45,0.2488281250000001,3,3,3,2,6,0.5204761904761988
4,31,1104.0,23,10050.048000000004,168,22.715,2,68,1.163352272727273,3,3,3,3,6,0.7904945054945038
4,32,1104.0,26,10593.580387462724,184,23.285,2,118,0.5428977272727268,3,3,3,3,6,1.099194139194136
4,33,1104.0,25,14228.1270292932,188,14.819999999999999,4,67,0.27371093750000053,3,3,2,2,5,0
4,34,1104.0,23,17512.901240812436,187,24.224999999999998,2,116,0.4593749999999996,3,3,4,3,7,2.858992673992688
4,35,1104.0,28,20302.09650003776,274,25.610000000000003,2,114,0.5428977272727268,3,3,3,3,6,1.8279304029304058
4,36,1104.0,25,15327.269216416593,183,24.17,2,77,1.163352272727273,3,3,3,3,6,1.0499633699633897
4,37,1104.0,28,16175.921209519482,199,25.07,2,122,0.5428977272727268,3,3,3,3,6,1.2282051282051292
4,38,1104.0,27,21401.66800449772,203,15.680000000000001,4,79,0.25593749999999965,3,3,2,2,5,0
4,39,1104.0,26,28642.088549073393,211,27.619999999999997,2,145,0.4593749999999996,3,3,4,3,6,3.4604761904761965
4,40,1104.0,20,37662.88437901409,336,18.21,2,66,0.24882812499999976,3,3,3,3,6,0.0476190476190439
5,1,1344.0,6,435.456,53,8.5,1,0,-1,1,1,1,1,2,0
5,2,1344.0,8,622.280246536272,64,10.85,1,0,-1,1,1,1,1,2,0
5,3,1344.0,9,750.3113863103833,70,7.250000000000001,2,0,-1,2,2,2,2,5,0
5,4,1344.0,10,793.9522282642376,76,10.5,2,21,0.6204545454545488,3,3,2,2,5,0
5,5,1344.0,9,1050.6745358510107,107,10.35,1,8,2.1,2,2,1,1,4,0
5,6,1344.0,16,1489.7167274119195,108,16.85,2,48,1.163352272727273,3,3,3,2,6,0.11824175824175498
5,7,1344.0,16,1351.4856450958628,109,13.909999999999998,2,60,0.5428977272727268,3,3,3,2,6,0.136813186813189
5,8,1344.0,13,1357.5349746819377,95,9.92,3,13,0.27920454545454576,3,2,2,2,3,0
5,9,1344.0,15,2252.856712767452,114,14.73,2,56,0.45937499999999987,3,3,2,2,5,0
5,10,1344.0,12,4182.901850724065,198,10.280000000000001,2,22,0.24882812499999993,2,2,2,2,5,0
5,11,1344.0,17,2251.929600000001,118,17.805,2,52,1.163352272727273,3,3,3,2,6,0.14824175824175612
5,12,1344.0,18,2164.6462861654613,124,15.844999999999999,2,77,0.5428977272727268,3,3,3,2,6,0.600915750915739
5,13,1344.0,15,2191.3856362081033,110,10.98,3,18,0.27920454545454576,3,2,2,2,3,0
5,14,1344.0,16,3364.7235911648404,124,15.86,2,61,0.45937499999999987,3,3,3,2,5,0
5,15,1344.0,18,3704.7221915163236,176,15.67,2,63,0.5428977272727268,3,3,3,2,6,0.6165384615384468
5,16,1344.0,19,3519.015891524219,133,19.51,2,67,1.1633522727272758,3,3,3,3,6,0.3055311355311332
5,17,1344.0,20,3419.572981079765,139,17.75,2,96,0.5428977272727268,3,3,3,2,6,0.6696336996336996
5,18,1344.0,18,4183.767837605376,134,12.0,4,31,0.27920454545454504,3,2,2,2,3,0
5,19,1344.0,18,5762.114284578291,143,18.54,2,81,0.45937500000000014,3,3,3,2,6,2.354725274725265
5,20,1344.0,14,8806.923785613295,238,11.95,2,27,0.24882812499999993,2,3,2,2,6,0.04761904761904745
5,21,1344.0,20,5266.944000000002,143,20.369999999999997,2,70,1.163352272727273,3,3,3,3,6,0.3291025641025698
5,22,1344.0,22,5342.72040240428,154,19.625,2,113,0.5428977272727268,3,3,3,3,6,0.8044871794871824
5,23,1344.0,20,6459.82374499606,149,12.979999999999999,4,39,0.27920454545454504,3,2,2,2,3,0
5,24,1344.0,20,8730.921609851099,158,20.444999999999997,2,103,0.45937500000000014,3,4,3,2,8,3.7430036630036625
5,25,1344.0,23,9795.351141527652,225,20.700000000000003,2,99,0.5428977272727268,3,3,3,2,6,1.2211172161172072
5,26,1344.0,22,8117.196656449199,158,21.95,2,82,1.163352272727273,3,3,3,3,6,0.47648351648351195
5,27,1344.0,24,8272.34934393561,169,21.47,2,130,0.5428977272727268,3,3,3,3,6,1.0277289377289343
5,28,1344.0,23,11304.931451693756,173,13.919999999999998,4,56,0.23624999999999963,3,2,2,2,3,0
5,29,1344.0,22,14354.740849300302,177,23.11,2,127,0.4593749999999996,3,4,3,3,9,3.401428571428575
5,30,1344.0,17,20105.789099317524,287,15.110000000000001,2,45,0.2488281250000001,2,3,2,2,7,1.519047619047619
5,31,1344.0,23,12060.057600000006,168,22.715,2,84,1.163352272727273,3,3,3,3,6,0.6276739926739907
5,32,1344.0,26,12712.296464955276,184,23.285,2,144,0.5428977272727268,3,3,3,3,6,1.1582051282051253
5,33,1344.0,25,17073.75243515183,188,14.819999999999999,4,67,0.27371093750000053,3,2,2,2,4,0
5,34,1344.0,23,21015.48148897493,187,24.224999999999998,2,133,0.4593749999999996,3,4,3,3,9,4.207619047619048
5,35,1344.0,28,24362.51580004531,274,25.610000000000003,2,135,0.5428977272727268,3,3,3,3,6,1.956501831501818
5,36,1344.0,25,18392.723059699925,183,24.17,2,98,1.163352272727273,3,3,3,3,6,1.2205860805860809
5,37,1344.0,28,19411.105451423384,199,25.07,2,157,0.5428977272727268,3,3,3,3,6,1.2367765567765545
5,38,1344.0,27,25682.001605397258,203,15.680000000000001,4,79,0.25593749999999965,3,3,2,2,4,0
5,39,1344.0,26,34370.50625888805,211,27.619999999999997,2,172,0.4593749999999996,3,4,3,3,8,5.544285714285699
5,40,1344.0,20,45195.46125481691,336,18.21,2,67,0.24882812499999976,3,3,3,2,7,1.8328571428571294
6,1,864.0,6,522.5471999999999,53,8.5,1,0,-1,1,1,1,1,2,0
6,2,864.0,7,882.74897830074,65,8.55,2,0,-1,1,1,1,1,2,0
6,3,864.0,8,1291.9647489992124,77,9.65,1,1,8.373749999999992,2,2,2,2,4,0
6,4,864.0,10,912.9174174510977,76,10.149999999999999,2,24,0.9306818181818178,3,3,3,2,6,0.00073260073260073
6,5,864.0,11,2055.3820607585394,129,11.25,2,3,5.3287499999999985,2,2,3,3,5,0
6,6,864.0,13,1766.5459775451584,99,13.07,2,27,1.3143457031249997,3,3,3,3,6,0.09512820512820497
6,7,864.0,13,1535.0362536391153,97,11.02,2,35,0.5428977272727268,3,3,3,2,6,0.24161172161172217
6,8,864.0,14,2692.163652024328,115,10.69,4,13,0.592744140625,3,3,3,3,6,0.15124794745484849
6,9,864.0,15,2608.1148867038573,115,7.949999999999999,3,43,0.35676136363636163,4,3,2,2,6,0.9560351143109749
6,10,864.0,11,7262.229596150715,204,9.29,2,12,0.4510009765625001,3,2,2,2,4,0
6,11,864.0,15,3060.633599999999,117,14.12,3,29,0.6249584960937516,3,3,3,3,6,0.14824175824175612
6,12,864.0,15,2474.8974376528295,112,12.985,2,47,0.5428977272727268,3,3,3,3,6,0.37661172161171663
6,13,864.0,16,4453.276723320293,133,13.11,3,13,0.6249584960937505,3,3,3,3,6,0.3212479474548502
6,14,864.0,17,4380.778211258622,133,9.14,3,54,0.27920454545454504,4,4,3,2,7,3.380885436402675
6,15,864.0,17,4524.467220008413,175,15.285,2,42,0.5428977272727268,3,3,3,2,6,0.48485347985347893
6,16,864.0,16,4574.720658981486,127,15.129999999999999,3,30,0.6571728515624998,3,3,3,3,6,0.17824175824175725
6,17,864.0,17,3929.9945363438783,127,14.919999999999998,2,56,0.5428977272727268,3,3,3,3,6,0.4692307692307658
6,18,864.0,20,8019.898927351751,164,15.45,3,19,0.6571728515625004,3,3,3,3,6,0.9595566502463129
6,19,864.0,19,6689.251470217203,148,10.080000000000002,3,67,0.4808522727272695,4,4,3,3,8,3.8976228369331825
6,20,864.0,14,15778.1689051919,252,12.29,2,20,0.4510009765625001,3,2,2,2,4,0
6,21,864.0,19,7813.324799999999,150,16.875,3,40,0.6893872070312502,3,3,3,3,6,0.3339743589743627
6,22,864.0,20,6997.985858190761,150,18.145,2,65,0.5428977272727268,3,3,3,3,6,0.5223443223443205
6,23,864.0,22,12633.814580921493,182,17.71,3,19,0.6893872070312502,3,3,3,3,6,1.079211822660099
6,24,864.0,21,10844.723683815047,166,11.200000000000001,3,80,0.27920454545454504,4,4,3,3,9,4.596673613742579
6,25,864.0,23,12936.430222665567,232,20.395,2,64,0.5428977272727268,3,3,3,3,6,0.9963186813186766
6,26,864.0,20,11542.372124199439,160,17.79,3,41,0.23194335937499966,3,3,3,3,6,0.1889743589743631
6,27,864.0,22,10756.56853901415,165,20.0,2,70,0.5428977272727268,3,3,3,3,6,0.5692307692307672
6,28,864.0,26,21310.941101309698,213,19.889999999999997,3,27,0.23194335937499966,3,3,3,3,6,1.4971756978653659
6,29,864.0,23,16324.546334053377,181,12.32,3,95,0.4808522727272708,4,4,3,3,9,4.9852380952380955
6,30,864.0,17,34063.75723616473,300,15.149999999999999,2,30,0.4510009765624996,3,3,2,2,5,0
6,31,864.0,22,18572.820479999995,178,19.15,3,42,0.23194335937499966,3,3,3,3,6,0.23397435897436125
6,32,864.0,24,16428.198508557583,180,21.825000000000003,2,76,0.5428977272727268,3,3,3,3,6,0.7192307692307658
6,33,864.0,28,32722.151430404803,231,21.989999999999995,3,27,0.2319433593750002,3,3,3,3,7,1.736830870279153
6,34,864.0,25,25855.781890225706,199,13.440000000000001,3,107,0.5506534090909071,4,4,4,3,9,4.919340027788312
6,35,864.0,29,33647.852010628616,289,26.505000000000003,2,78,0.5428977272727268,3,3,3,3,6,1.3582051282051175
6,36,864.0,24,27870.605860871816,193,20.230000000000004,3,53,0.23194335937499966,3,3,3,3,6,0.5741025641025601
6,37,864.0,27,27306.29601068107,203,24.88,2,78,0.5428977272727268,3,3,3,3,6,0.8692307692307644
6,38,864.0,32,53164.16869583178,262,24.009999999999998,3,34,0.2319433593750002,3,3,3,3,7,2.4147947454844036
6,39,864.0,27,38541.1794553447,214,14.560000000000002,3,123,0.27920454545454504,5,4,4,3,9,5.464957685992168
6,40,864.0,21,77005.63658731675,357,17.869999999999997,3,48,0.4510009765624996,3,3,2,2,6,0.3780712391057186
7,1,960.0,6,627.0566399999998,53,8.25,1,0,-1,1,1,1,1,2,0
7,2,960.0,9,1158.508024694385,75,7.25,3,10,0.775568181818182,3,2,2,2,3,0
7,3,960.0,8,1179.9182486435282,74,5.04,3,2,0.4510009765624996,2,2,2,2,3,0
7,4,960.0,11,1128.586498620753,81,9.4,2,30,0.6204545454545461,3,3,2,2,6,0.16428571428571104
7,5,960.0,14,2131.5559646077368,137,12.379999999999999,2,18,0.6442871093750001,3,2,2,2,4,0
7,6,960.0,13,2010.0618772386338,99,11.559999999999999,2,30,0.5428977272727268,3,3,3,2,6,0.14428571428571502
7,7,960.0,15,2235.797275570682,110,12.52,2,36,0.5428977272727274,3,3,3,2,6,0.21805860805861244
7,8,960.0,14,2624.2532175588494,109,8.469999999999999,3,23,0.23194335937499996,3,2,2,2,4,0
7,9,960.0,15,2994.5664612785813,115,8.809999999999999,3,21,0.27920454545454504,3,2,2,2,3,0
